movie_name;genre;year;timeMin;imdb;metascore;votes;us_grossMillions
Once Upon a Time... in Hollywood;Comedy, Drama;2019;161;77;830;439202;1425
Parasite;Comedy, Drama, Thriller;2019;132;86;960;367763;5337
Knives Out;Comedy, Crime, Drama;2019;131;80;820;272176;16536
1917;Drama, War;2019;119;84;780;278731;15923
The Ten Commandments;Adventure, Drama;1956;220;78;774;60668;9374
Little Women;Drama, Romance;2019;135;79;910;92139;1081
Avengers: Endgame;Action, Adventure, Drama;2019;181;84;780;697863;85837
Joker;Crime, Drama, Thriller;2019;122;85;590;754563;33545
The Shawshank Redemption;Drama;1994;142;93;800;2220730;2834
Jojo Rabbit;Comedy, Drama, War;2019;108;79;580;193100;35
Ford v Ferrari;Action, Biography, Drama;2019;152;81;810;197710;11762
The Godfather;Crime, Drama;1972;175;92;1000;1530221;13497
Inception;Action, Adventure, Sci-Fi;2010;148;88;740;1947364;29258
Harry Potter and the Sorcerer's Stone;Adventure, Family, Fantasy;2001;152;76;640;604887;31758
The Perks of Being a Wallflower;Drama, Romance;2012;103;80;670;440495;1774
Interstellar;Adventure, Drama, Sci-Fi;2014;169;86;740;1398665;18802
The Dark Knight;Action, Crime, Drama;2008;152;90;840;2196122;53486
Mad Max: Fury Road;Action, Adventure, Sci-Fi;2015;120;81;900;831569;15406
Call Me by Your Name;Drama, Romance;2017;132;79;930;185451;181
Road to Perdition;Crime, Drama, Thriller;2002;117;77;720;237496;10445
Pulp Fiction;Crime, Drama;1994;154;89;940;1742458;10793
The Lighthouse;Drama, Fantasy, Horror;2019;109;76;830;92992;43
Raiders of the Lost Ark;Action, Adventure;1981;115;84;850;848656;24816
The Lord of the Rings: The Fellowship of the Ring;Action, Adventure, Drama;2001;178;88;920;1586748;31554
Toy Story 4;Animation, Adventure, Comedy;2019;100;78;840;173358;43404
Goodfellas;Biography, Crime, Drama;1990;146;87;900;966567;4684
Blade Runner 2049;Action, Drama, Mystery;2017;164;80;810;423894;9205
Green Book;Biography, Comedy, Drama;2018;130;82;690;311218;8508
Avengers: Infinity War;Action, Adventure, Sci-Fi;2018;149;85;680;763162;67882
The Social Network;Biography, Drama;2010;120;77;950;594667;9696
The Dark Knight Rises;Action, Adventure;2012;164;84;780;1452944;44814
Inglourious Basterds;Adventure, Drama, War;2009;153;83;690;1198697;12054
Thor: Ragnarok;Action, Adventure, Comedy;2017;130;79;740;543360;31506
Fight Club;Drama;1999;139;88;660;1770485;3703
The Wolf of Wall Street;Biography, Crime, Drama;2013;180;82;750;1105999;1169
Titanic;Drama, Romance;1997;194;78;750;1002806;65933
Aliens;Action, Adventure, Sci-Fi;1986;137;83;840;627331;8516
Casino Royale;Action, Adventure, Thriller;2006;144;80;800;561157;16745
